Bacterial_ID,Treatment,Growth1,Growth2,Growth3,Hour
246-PC,MF,0.141,0.141,0.14,0
246-PC,MF,0.143,0.144,0.142,0.5
246-PC,MF,0.145,0.144,0.142,1
246-PC,MF,0.146,0.145,0.143,1.5
246-PC,MF,0.147,0.147,0.145,2
246-PC,MF,0.149,0.15,0.148,2.5
246-PC,MF,0.152,0.153,0.151,3
246-PC,MF,0.156,0.158,0.155,3.5
246-PC,MF,0.161,0.164,0.16,4
246-PC,MF,0.165,0.169,0.165,4.5
246-PC,MF,0.171,0.175,0.17,5
246-PC,MF,0.178,0.182,0.175,5.5
246-PC,MF,0.185,0.188,0.181,6
246-PC,MF,0.194,0.197,0.188,6.5
246-PC,MF,0.206,0.206,0.195,7
246-PC,MF,0.212,0.22,0.205,7.5
246-PC,MF,0.227,0.229,0.209,8
246-PC,MF,0.251,0.243,0.22,8.5
246-PC,MF,0.267,0.253,0.232,9
246-PC,MF,0.292,0.266,0.244,9.5
246-PC,MF,0.317,0.274,0.263,10
246-PC,MF,0.329,0.284,0.272,10.5
246-PC,MF,0.334,0.285,0.282,11
246-PC,MF,0.334,0.289,0.295,11.5
246-PC,MF,0.338,0.296,0.303,12
246-PC,MF,0.345,0.295,0.313,12.5
246-PC,MF,0.356,0.299,0.32,13
246-PC,MF,0.363,0.315,0.335,13.5
246-PC,MF,0.367,0.323,0.342,14
246-PC,MF,0.377,0.322,0.351,14.5
246-PC,MF,0.387,0.329,0.36,15
246-PC,MF,0.394,0.33,0.37,15.5
246-PC,MF,0.396,0.329,0.381,16
246-PC,MF,0.423,0.326,0.392,16.5
246-PC,MF,0.429,0.335,0.402,17
246-PC,MF,0.436,0.341,0.415,17.5
246-PC,MF,0.429,0.345,0.417,18
246-PC,MF,0.418,0.347,0.432,18.5
246-PC,MF,0.401,0.353,0.442,19
246-PC,MF,0.409,0.359,0.423,19.5
246-PC,MF,0.412,0.358,0.427,20
246-PC,MF,0.406,0.362,0.42,20.5
246-PC,MF,0.406,0.364,0.423,21
246-PC,MF,0.4,0.362,0.414,21.5
246-PC,MF,0.403,0.362,0.41,22
246-PC,MF,0.408,0.36,0.407,22.5
246-PC,MF,0.418,0.361,0.411,23
246-PC,MF,0.41,0.365,0.409,23.5
246-PC,MF,0.419,0.365,0.411,24
288-PC,M,0.144,0.139,0.14,0
283-CP,M,0.143,0.141,0.141,0.5
283-CP,M,0.14,0.142,0.141,1
283-CP,M,0.141,0.142,0.142,1.5
283-CP,M,0.142,0.143,0.144,2
283-CP,M,0.144,0.144,0.145,2.5
283-CP,M,0.147,0.147,0.148,3
283-CP,M,0.15,0.15,0.151,3.5
283-CP,M,0.154,0.156,0.155,4
283-CP,M,0.158,0.161,0.159,4.5
283-CP,M,0.164,0.167,0.165,5
283-CP,M,0.169,0.174,0.171,5.5
283-CP,M,0.176,0.182,0.178,6
283-CP,M,0.182,0.189,0.184,6.5
283-CP,M,0.185,0.197,0.19,7
283-CP,M,0.186,0.209,0.197,7.5
283-CP,M,0.188,0.226,0.213,8
283-CP,M,0.191,0.264,0.24,8.5
283-CP,M,0.196,0.308,0.274,9
283-CP,M,0.207,0.33,0.313,9.5
283-CP,M,0.219,0.362,0.342,10
283-CP,M,0.231,0.374,0.357,10.5
283-CP,M,0.245,0.37,0.38,11
283-CP,M,0.251,0.403,0.382,11.5
283-CP,M,0.259,0.378,0.383,12
283-CP,M,0.264,0.371,0.373,12.5
283-CP,M,0.267,0.374,0.374,13
283-CP,M,0.272,0.393,0.378,13.5
283-CP,M,0.277,0.393,0.387,14
283-CP,M,0.278,0.373,0.398,14.5
283-CP,M,0.283,0.369,0.419,15
283-CP,M,0.286,0.377,0.395,15.5
283-CP,M,0.285,0.384,0.392,16
283-CP,M,0.291,0.404,0.4,16.5
283-CP,M,0.294,0.386,0.407,17
283-CP,M,0.298,0.383,0.397,17.5
283-CP,M,0.303,0.384,0.415,18
283-CP,M,0.306,0.385,0.408,18.5
283-CP,M,0.308,0.4,0.419,19
283-CP,M,0.312,0.404,0.409,19.5
283-CP,M,0.311,0.391,0.396,20
283-CP,M,0.309,0.401,0.406,20.5
283-CP,M,0.303,0.412,0.399,21
283-CP,M,0.297,0.417,0.403,21.5
283-CP,M,0.291,0.39,0.409,22
283-CP,M,0.286,0.389,0.406,22.5
283-CP,M,0.287,0.396,0.399,23
283-CP,M,0.291,0.39,0.411,23.5
283-CP,M,0.292,0.385,0.4,24
